ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60609,45,11/01/2020,11/07/2020,377,3636,613,5912.7,2234,33206,3633,53997.9,0.2,0.1,2,88,3.3,143.1,61495,60609-2020-45,POINT (-87.653382 41.812017)
60609,48,11/22/2020,11/28/2020,230,4667,374,7589.2,2005,40449,3260,65776.1,0.1,0.1,1,95,1.6,154.5,61495,60609-2020-48,POINT (-87.653382 41.812017)
60610,1,01/03/2021,01/09/2021,136,2547,348,6527.6,1915,43743,4908,112106.9,0.1,0.1,1,25,2.6,64.1,39019,60610-2021-1,POINT (-87.63581 41.90455)
60610,18,05/02/2021,05/08/2021,34,3576,87,9164.8,1410,71134,3614,182306.1,0.0,0.1,0,32,0.0,82.0,39019,60610-2021-18,POINT (-87.63581 41.90455)
60610,31,08/01/2021,08/07/2021,66,3808,169,9759.3,1825,86972,4677,222896.5,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-31,POINT (-87.63581 41.90455)
60610,33,08/15/2021,08/21/2021,66,3952,169,10128.4,2070,91180,5305,233681,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-33,POINT (-87.63581 41.90455)
60610,35,08/29/2021,09/04/2021,66,4077,169,10448.8,2188,95205,5608,243996.5,0.0,0.0,1,34,2.6,87.1,39019,60610-2021-35,POINT (-87.63581 41.90455)
60610,42,10/17/2021,10/23/2021,25,4349,64,11145.9,2218,110485,5684,283156.9,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-42,POINT (-87.63581 41.90455)
60610,43,10/24/2021,10/30/2021,42,4391,108,11253.5,2158,112643,5531,288687.6,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-43,POINT (-87.63581 41.90455)
60610,44,10/31/2021,11/06/2021,51,4442,131,11384.2,2077,114720,5323,294010.6,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-44,POINT (-87.63581 41.90455)
60610,45,11/07/2021,11/13/2021,52,4494,133,11517.5,2284,117004,5854,299864.2,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-45,POINT (-87.63581 41.90455)
60610,47,11/21/2021,11/27/2021,62,4634,159,11876.3,2170,121759,5561,312050.5,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-47,POINT (-87.63581 41.90455)
60610,48,11/28/2021,12/04/2021,105,4739,269,12145.4,2944,124703,7545,319595.6,0.0,0.0,0,35,0.0,89.7,39019,60610-2021-48,POINT (-87.63581 41.90455)
60610,3,01/16/2022,01/22/2022,170,7577,436,19418.7,3045,148593,7804,380822.2,0.1,0.1,1,47,2.6,120.5,39019,60610-2022-3,POINT (-87.63581 41.90455)
60610,5,01/30/2022,02/05/2022,69,7771,177,19915.9,2210,153520,5664,393449.3,0.0,0.1,2,51,5.1,130.7,39019,60610-2022-5,POINT (-87.63581 41.90455)
60610,50,12/11/2022,12/17/2022,66,10745,169,27537.9,1137,209665,2914,537340.8,0.1,0.1,0,55,0.0,141.0,39019,60610-2022-50,POINT (-87.63581 41.90455)
60610,52,12/25/2022,12/31/2022,42,10845,108,27794.2,746,211590,1912,542274.3,0.1,0.1,0,55,0.0,141.0,39019,60610-2022-52,POINT (-87.63581 41.90455)
60610,6,02/06/2022,02/12/2022,46,7817,118,20033.8,2150,155670,5510,398959.5,0.0,0.1,1,52,2.6,133.3,39019,60610-2022-6,POINT (-87.63581 41.90455)
60610,7,02/13/2022,02/19/2022,30,7847,77,20110.7,1928,157598,4941,403900.7,0.0,0.1,1,53,2.6,135.8,39019,60610-2022-7,POINT (-87.63581 41.90455)
60610,8,02/20/2022,02/26/2022,22,7869,56,20167.1,1797,159395,4605,408506.1,0.0,0.1,0,53,0.0,135.8,39019,60610-2022-8,POINT (-87.63581 41.90455)
60610,1,01/01/2023,01/07/2023,42,10887,108,27901.8,871,212461,2232,544506.5,0.1,0.1,1,56,2.6,143.5,39019,60610-2023-1,POINT (-87.63581 41.90455)
60610,3,01/15/2023,01/21/2023,31,10945,79,28050.4,1014,214536,2599,549824.4,0.0,0.1,0,57,0.0,146.1,39019,60610-2023-3,POINT (-87.63581 41.90455)
60610,4,01/22/2023,01/28/2023,18,10963,46,28096.6,1135,215671,2909,552733.3,0.0,0.1,0,57,0.0,146.1,39019,60610-2023-4,POINT (-87.63581 41.90455)
60610,8,02/19/2023,02/25/2023,28,11084,72,28406.7,1002,219912,2568,563602.3,0.0,0.1,0,57,0.0,146.1,39019,60610-2023-8,POINT (-87.63581 41.90455)
60610,9,02/26/2023,03/04/2023,37,11121,95,28501.5,644,220556,1650,565252.8,0.1,0.1,0,57,0.0,146.1,39019,60610-2023-9,POINT (-87.63581 41.90455)
60611,21,05/23/2021,05/29/2021,9,2320,28,7154.8,855,57644,2637,177770.9,0.0,0.0,0,16,0.0,49.3,32426,60611-2021-21,POINT (-87.620291 41.894734)
60611,26,06/27/2021,07/03/2021,3,2337,9,7207.2,633,61407,1952,189375.8,0.0,0.0,0,17,0.0,52.4,32426,60611-2021-26,POINT (-87.620291 41.894734)
60611,32,08/08/2021,08/14/2021,45,2501,139,7712.9,1693,68692,5221,211842.3,0.0,0.0,1,19,3.1,58.6,32426,60611-2021-32,POINT (-87.620291 41.894734)
60611,49,12/05/2021,12/11/2021,70,3120,216,9621.9,2721,99689,8391,307435.4,0.0,0.0,0,19,0.0,58.6,32426,60611-2021-49,POINT (-87.620291 41.894734)
60827,26,06/26/2022,07/02/2022,11,1010,38,3534.3,,812,0,2841.4,0.0,0.1,0,19,0.0,66.5,28577,60827-2022-26,POINT (-87.633087 41.650765)
